series	cos_mean	cos_min	verdict	sample_file
A Silent Voice	0.7866	0.7680	CORRUPT	A Silent Voice/[Judas] Koe no Katachi (A Silent Voice) [BD 1080p][HEVC x265 10bit][Dual-Audio][Multi-Subs].mp4
Aho-Girl	0.6743	0.6622	CORRUPT	Aho-Girl/Aho-Girl - 01 - Here She Is Aho Girl.mp4
Aishiteru Game (I Want to End This Love Game)	0.8373	0.8347	CORRUPT	Aishiteru Game (I Want to End This Love Game)/[Erai-raws] Aishiteru Game wo Owarasetai - 11 [1080p CR WEB-DL AVC AAC][MultiSub][C1228AD2].mp4
Alien Father	1.0000	1.0000	OK	Alien Father/(Alien father) Animation Short Film 2022 [fz0tzQXk4P8].mp4
Amaama to Inazuma (Sweetness and Lightning)	0.8276	0.8122	CORRUPT	Amaama to Inazuma (Sweetness and Lightning)/Sweetness and Lightning - 01.mp4
Astro Note	NA	NA	NO_SAMPLE_FILE	-
Benriya Saitou-san, Isekai ni Iku (Handyman Saitou in Another World)	0.7838	0.7503	CORRUPT	Benriya Saitou-san, Isekai ni Iku (Handyman Saitou in Another World)/S01E01-Handyman Saitou [BE10E09D].mp4
Binchou-tan	1.0000	1.0000	OK	Binchou-tan/Binchou-tan - 01-02 (R2DVD 1024x576 x264 Hi10p AC3 Chap).mp4
Black Jack (Black Jack OVA + Movie + Young Black Jack)	NA	NA	NO_SAMPLE_FILE	-
Bokutachi wa Benkyou ga Dekinai (We Never Learn: BOKUBEN)	0.7299	0.6960	CORRUPT	Bokutachi wa Benkyou ga Dekinai (We Never Learn: BOKUBEN)/[DB] Bokutachi wa Benkyou ga Dekinai_-_01_(10bit_BD1080p_x265).mp4
Boukensha ni Naritai to Miyako ni Deteitta Musume ga S Rank ni Natteta (My Daughter Left the Nest and Returned an S-Rank Adventurer)	0.8452	0.8414	CORRUPT	Boukensha ni Naritai to Miyako ni Deteitta Musume ga S Rank ni Natteta (My Daughter Left the Nest and Returned an S-Rank Adventurer)/[Judas] S-Rank Musume - S01E01.mp4
Bounen no Xamdou (Xam'd Lost Memories)	0.7541	0.7430	CORRUPT	Bounen no Xamdou (Xam'd Lost Memories)/NCED01.mp4
